date,name,lvl2,lvl3
08/22/2020,Haro0n,5,0
,Zehar,2,1
,malang007,4,1
,PAk Taliban,5,0
,sarkari b3nk,1,0
,bilalwarrior,6,0
,Bilal Waheed,4,0
,Arham fajar,1,0
,Palestine007,2,1
,great chooza,2,0
,BRAVE MUSLIM,14,0
,BRAVEMUSLIM2,2,0
,ChTalha,2,0
,ChTalha 2,0,0
,AGRAKOR,4,0
,Billifox,1,0
,Tape Face,2,1
,gulam mujtab,1,0
,mujtab789,1,0
,Mr BaTtEry,3,0
,shahid1122,3,0
,sharkhunterz,7,0
,99ARSLAN,2,0
,AhSan Jutt,0,0
,AhSan Juttt,0,0
,Akhrot,1,1
,Amir369,1,0
,ArshadKhan28,4,0
,Azeem Rana,4,0
,Conqueror Pk,4,0
,engArslan01,1,0
,engarslan,3,0
,Gh0st Li0N,2,0
,Gh0st Li0,2,0
,Gordon Bro,2,0
,H M Usman,5,0
,Humair Anjum,4,0
,Kashmiir,0,1
,Lazy Gamer,4,0
,make u Oo,1,0
,Mehrukh,1,0
,mmmishaq ish,7,0
,Mr K1Ng,3,0
,mubashar 01,1,0
,Pak Army1,1,0
,Pak Force A1,3,1
,PAk Salman,2,0
,Pak warrior1,4,0
,Rana TD,1,0
,Rana vicky,5,0
,SalmanHR,1,0
,ShAaN Mughal,3,0
,Mr Mughal S,3,0
,Shahzad606,3,0
,xXx K1nG,1,0
,ZAIN555,0,0
,Zalim Saqi,0,0
,45MNS45,0,0
,aBdul 1,1,0
,FAHIM KHI,6,0
,hmoob5656,2,0
,itsali90,4,0
,Khatinger,4,0
,kingcobra320,2,0
,NIGHTMARE 4,4,0
,QUEEEEEEEEN,3,0
,Raja2296,0,0
,Raja Hunter,0,0
,W A R T H II,2,0
,S L O T H,3,0
,Abdullah k,1,0
,AbdulWasay11,4,0
,Ak47,3,0
,badshah boby,1,0
,Behlol,0,0
,farrukh,2,0
,Goldcut,3,0
,I Gusion I,0,1
,II Gusion II,0,0
,II RoHaN II,0,0
,LORD ADEEL,3,0
,M Farhan,4,0
,M Zuhaib SP,2,0
,Mutah1r Mahm,1,0
,Mutah1rMahm,6,0
,Slayerhome,3,0
,Nouman 321,1,0
,Professor 69,1,0
,Royal Pak,0,1
,SHAH1419,0,0
,Stick Man SP,1,0
,THE KING iii,1,0
,ImSo Cute,3,0
,Moid Wahid,0,0
,NPTuets YT,2,0
,Royal Hadi,0,0
,CracK HeaD,0,2
,Anas Mehmood,1,0
,WasiYoutuber,1,0
