name,lvl2,lvl3,score
Haro0n,5,0,25
Zehar,2,1,
malang007,4,1,
PAk Taliban,5,0,
sarkari b3nk,1,0,
bilalwarrior,6,0,18.33333333
Bilal Waheed,4,0,
Arham fajar,1,0,
Palestine007,2,1,20
great chooza,2,0,
BRAVE MUSLIM,14,0,40
BRAVEMUSLIM2,2,0,
ChTalha,2,0,10
ChTalha 2,0,0,
AGRAKOR,4,0,
Billifox,1,0,17.5
Tape Face,2,1,
gulam mujtab,1,0,5
mujtab789,1,0,
Mr BaTtEry,3,0,15
shahid1122,3,0,15
sharkhunterz,7,0,35
99ARSLAN,2,0,10
AhSan Jutt,0,0,0
AhSan Juttt,0,0,
Akhrot,1,1,25
Amir369,1,0,5
ArshadKhan28,4,0,20
Azeem Rana,4,0,20
Conqueror Pk,4,0,20
engArslan01,1,0,5
engarslan,3,0,15
Gh0st Li0N,2,0,10
Gh0st Li0,2,0,
Gordon Bro,2,0,10
H M Usman,5,0,25
Humair Anjum,4,0,20
Kashmiir,0,1,20
Lazy Gamer,4,0,20
make u Oo,1,0,5
Mehrukh,1,0,5
mmmishaq ish,7,0,35
Mr K1Ng,3,0,15
mubashar 01,1,0,5
Pak Army1,1,0,5
Pak Force A1,3,1,35
PAk Salman,2,0,10
Pak warrior1,4,0,20
Rana TD,1,0,5
Rana vicky,5,0,25
SalmanHR,1,0,5
ShAaN Mughal,3,0,15
Mr Mughal S,3,0,15
Shahzad606,3,0,15
xXx K1nG,1,0,5
ZAIN555,0,0,0
Zalim Saqi,0,0,0
45MNS45,0,0,0
aBdul 1,1,0,5
FAHIM KHI,6,0,30
hmoob5656,2,0,10
itsali90,4,0,20
Khatinger,4,0,20
kingcobra320,2,0,10
NIGHTMARE 4,4,0,20
QUEEEEEEEEN,3,0,15
Raja2296,0,0,0
Raja Hunter,0,0,
W A R T H II,2,0,12.5
S L O T H,3,0,
Abdullah k,1,0,5
AbdulWasay11,4,0,20
Ak47,3,0,15
badshah boby,1,0,5
Behlol,0,0,0
farrukh,2,0,10
Goldcut,3,0,15
I Gusion I,0,1,10
II Gusion II,0,0,
II RoHaN II,0,0,0
LORD ADEEL,3,0,15
M Farhan,4,0,20
M Zuhaib SP,2,0,10
Mutah1r Mahm,1,0,16.66666667
Mutah1rMahm,6,0,
Slayerhome,3,0,
Nouman 321,1,0,5
Professor 69,1,0,5
Royal Pak,0,1,20
SHAH1419,0,0,0
Stick Man SP,1,0,5
THE KING iii,1,0,5
ImSo Cute,3,0,15
Moid Wahid,0,0,0
NPTuets YT,2,0,10
Royal Hadi,0,0,0
CracK HeaD,0,2,40
Anas Mehmood,1,0,5
WasiYoutuber,1,0,5
